"CODIGO";"ID FABRICANTE";"CATEGORIA";"DETALLE";"IMAGEN";"IVA";"STOCK";"GARANTIA";"MONEDA";"PRECIO";"PRECIO FINAL";"COTIZACION DOLAR";"PRECIO PESOS SIN IVA";"PRECIO PESOS CON IVA";"ATRIBUTOS";"PRECIO USD CON UTILIDAD";"PRECIO PESOS CON UTILIDAD";"CATEGORIA_USUARIO";"UTILIDAD";"DETALLE_USUARIO";"PESO";"ALTO";"ANCHO";"LARGO";"";"IMPUESTO_INTERNO"
"104320";"RZ02-03330300-R3U1";"MOUSEPADS";"MOUSEPAD RAZER GIGANTUS V2 LARGE";"https://static.nb.com.ar/i/nb_MOUSEPAD-RAZER-GIGANTUS-V2-LARGE_export_546812e527add47dabb5f8994220eee2.jpg";"21.0%";"10";"12 meses";"U$S";"16.14";"19.53";"1375";"22193.33";"26853.92";"Marca:Razer
Es gamer:Sí
Es antideslizante:Sí
Largo:45 cm
Materiales:Caucho,Tela
Modelo:Gigantus
Tamaño del mouse pad:L
Espesor:3 mm
Ancho:40 cm
Con carga inalámbrica de dispositivos:No
Con apoya muñeca:No";"19.53";"26853.93";"";"";"MOUSEPAD RAZER GIGANTUS V2 LARGE";"356";"425";"80";"80";"";"0"
"108592";"RC21-01560100-R3U1";"MOUSEPADS";"ACCESORIOS RAZER BUNGEE V3";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3_export_b2c339e4061325f18e70c92c4dc1d518.jpg";"21.0%";"10";"12 meses";"U$S";"17.3";"20.94";"1375";"23790.11";"28786.04";"Marca:Razer
Código universal de producto:8886419313588
Modelo:Mouse Bungee v3
Brazo :de resorte con abrazadera de presión para cables para un control sin arrastre del cable
Base :antideslizante con peso para mayor estabilidad";"20.94";"28786.04";"";"";"ACCESORIOS RAZER BUNGEE V3";"250";"138";"117";"162";"";"0"
"108592";"RC21-01560100-R3U1";"MOUSEPADS";"ACCESORIOS RAZER BUNGEE V3";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3_export_7b030f98c57484136a6ddb5d4b5903b9.jpg";"21.0%";"10";"12 meses";"U$S";"17.3";"20.94";"1375";"23790.11";"28786.04";"Marca:Razer
Código universal de producto:8886419313588
Modelo:Mouse Bungee v3
Brazo :de resorte con abrazadera de presión para cables para un control sin arrastre del cable
Base :antideslizante con peso para mayor estabilidad";"20.94";"28786.04";"";"";"ACCESORIOS RAZER BUNGEE V3";"250";"138";"117";"162";"";"0"
"108592";"RC21-01560100-R3U1";"MOUSEPADS";"ACCESORIOS RAZER BUNGEE V3";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3_export_8a1ce3551845897bfaf1018c67f972e0.jpg";"21.0%";"10";"12 meses";"U$S";"17.3";"20.94";"1375";"23790.11";"28786.04";"Marca:Razer
Código universal de producto:8886419313588
Modelo:Mouse Bungee v3
Brazo :de resorte con abrazadera de presión para cables para un control sin arrastre del cable
Base :antideslizante con peso para mayor estabilidad";"20.94";"28786.04";"";"";"ACCESORIOS RAZER BUNGEE V3";"250";"138";"117";"162";"";"0"
"108592";"RC21-01560100-R3U1";"MOUSEPADS";"ACCESORIOS RAZER BUNGEE V3";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3_export_73ead5d4c133f9ab6bb11d40f3d3377c.jpg";"21.0%";"10";"12 meses";"U$S";"17.3";"20.94";"1375";"23790.11";"28786.04";"Marca:Razer
Código universal de producto:8886419313588
Modelo:Mouse Bungee v3
Brazo :de resorte con abrazadera de presión para cables para un control sin arrastre del cable
Base :antideslizante con peso para mayor estabilidad";"20.94";"28786.04";"";"";"ACCESORIOS RAZER BUNGEE V3";"250";"138";"117";"162";"";"0"
"108780";"RC21-01520100-R3U1";"MOUSEPADS";"ACCESORIOS RAZER BUNGEE V3 CHROMA";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3-CHROMA_export_7334015152bb64bb4604e988746b8d85.jpeg";"21.0%";"10";"12 meses";"U$S";"31.24";"37.81";"1375";"42960.5";"51982.21";"Marca:Razer
Código universal de producto:8886419313564
Modelo:Mouse Bungee v3 Chroma
Iluminación :Chroma? RGB";"37.81";"51982.21";"";"";"ACCESORIOS RAZER BUNGEE V3 CHROMA";"274";"138";"117";"162";"";"0"
"108780";"RC21-01520100-R3U1";"MOUSEPADS";"ACCESORIOS RAZER BUNGEE V3 CHROMA";"https://static.nb.com.ar/i/nb_ACCESORIOS-RAZER-BUNGEE-V3-CHROMA_export_58daa88da21700f286f01692139d8d95.jpg";"21.0%";"10";"12 meses";"U$S";"31.24";"37.81";"1375";"42960.5";"51982.21";"Marca:Razer
Código universal de producto:8886419313564
Modelo:Mouse Bungee v3 Chroma
Iluminación :Chroma? RGB";"37.81";"51982.21";"";"";"ACCESORIOS RAZER BUNGEE V3 CHROMA";"274";"138";"117";"162";"";"0"
"108991";"31250012400";"MOUSEPADS";"MOUSE PAD GX GAMING GENIUS G-WP 200M BLK";"https://static.nb.com.ar/i/nb_MOUSE-PAD-GX-GAMING-GENIUS-G-WP-200M-BLK_export_2d43fef4a3ba11f96eccbbf6f0a9f286.jpeg";"21.0%";"10";"12 meses";"U$S";"9.53";"11.53";"1375";"13100.31";"15851.38";"Largo x Ancho :230 mm x 160 mm
Espesor :3mm
Materiales:Goma
Con apoya muñeca:si
Marca :Genius
Línea :GX Gaming
Modelo :g-wmp 200m
Tamaño del mouse pad:M
Es antideslizante:si";"11.53";"15851.39";"";"";"MOUSE PAD GX GAMING GENIUS G-WP 200M BLK";"1500";"440";"30";"70";"";"0"
"104335";"21568";"MOUSEPADS";"MOUSE PAD TRUST XL GXT 756";"https://static.nb.com.ar/i/nb_MOUSE-PAD-TRUST-XL-GXT-756_export_97f3f3970e4ffa6bafc4a3fcc69b7b94.jpg";"21.0%";"10";"12 meses";"U$S";"11.21";"13.56";"1375";"15414.4";"18651.42";"Marca:Trust
Es gamer:Sí
Es antideslizante:Sí
Largo:40 cm
Línea:GXT
Materiales:Caucho
Modelo:GXT 756
Tamaño del mouse pad:XL
Espesor:3 mm
Ancho:45 cm
Con luz LED:No
Con apoya muñeca:No";"13.56";"18651.42";"";"";"MOUSE PAD TRUST XL GXT 756";"450";"450";"80";"80";"";"0"
"104335";"21568";"MOUSEPADS";"MOUSE PAD TRUST XL GXT 756";"https://static.nb.com.ar/i/nb_MOUSE-PAD-TRUST-XL-GXT-756_export_b7c85e9a230df09cbe010baad082de3a.jpg";"21.0%";"10";"12 meses";"U$S";"11.21";"13.56";"1375";"15414.4";"18651.42";"Marca:Trust
Es gamer:Sí
Es antideslizante:Sí
Largo:40 cm
Línea:GXT
Materiales:Caucho
Modelo:GXT 756
Tamaño del mouse pad:XL
Espesor:3 mm
Ancho:45 cm
Con luz LED:No
Con apoya muñeca:No";"13.56";"18651.42";"";"";"MOUSE PAD TRUST XL GXT 756";"450";"450";"80";"80";"";"0"
"115261";"31250010400";"MOUSEPADS";"MOUSE PAD GENIUS G-WP 100 BLK";"https://static.nb.com.ar/i/nb_MOUSE-PAD-GENIUS-G-WP-100-BLK_export_e94203ad7791f5f46071437a6be8f900.jpg";"21.0%";"10";"12 meses";"U$S";"5.7";"6.89";"1375";"7834.61";"9479.88";"Marca:Genius
Código universal de producto:4710268256694
Es antideslizante:Sí
Largo:460 mm
Materiales:Espuma
Modelo:G-WP 100
Ancho:86 mm
Con carga inalámbrica de dispositivos:No
Con apoya muñeca:Sí";"6.89";"9479.88";"";"";"MOUSE PAD GENIUS G-WP 100 BLK";"1350";"470";"40";"90";"";"0"
"115261";"31250010400";"MOUSEPADS";"MOUSE PAD GENIUS G-WP 100 BLK";"https://static.nb.com.ar/i/nb_MOUSE-PAD-GENIUS-G-WP-100-BLK_export_aaa0883813a54d53e0b6bafaa12d1f6b.jpg";"21.0%";"10";"12 meses";"U$S";"5.7";"6.89";"1375";"7834.61";"9479.88";"Marca:Genius
Código universal de producto:4710268256694
Es antideslizante:Sí
Largo:460 mm
Materiales:Espuma
Modelo:G-WP 100
Ancho:86 mm
Con carga inalámbrica de dispositivos:No
Con apoya muñeca:Sí";"6.89";"9479.88";"";"";"MOUSE PAD GENIUS G-WP 100 BLK";"1350";"470";"40";"90";"";"0"
"115261";"31250010400";"MOUSEPADS";"MOUSE PAD GENIUS G-WP 100 BLK";"https://static.nb.com.ar/i/nb_MOUSE-PAD-GENIUS-G-WP-100-BLK_export_b4192d261f245a62a0c4adc92166b3a8.jpeg";"21.0%";"10";"12 meses";"U$S";"5.7";"6.89";"1375";"7834.61";"9479.88";"Marca:Genius
Código universal de producto:4710268256694
Es antideslizante:Sí
Largo:460 mm
Materiales:Espuma
Modelo:G-WP 100
Ancho:86 mm
Con carga inalámbrica de dispositivos:No
Con apoya muñeca:Sí";"6.89";"9479.88";"";"";"MOUSE PAD GENIUS G-WP 100 BLK";"1350";"470";"40";"90";"";"0"
"104937";"23758";"MOUSES";"MOUSE GAMER TRUST GRAPHIN LIGHTWEIGHT GXT 960";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-TRUST-GRAPHIN-LIGHTWEIGHT-GXT-960_export_779912b0f78b1a216680d6180bd923cf.png";"10.5%";"10";"12 meses";"U$S";"19.29";"21.31";"1375";"26522.62";"29307.5";"DPI range:200 dpi - 10000 dpi
Sensor technology:optical
Sensor model:PMW3325
Acceleration:20 G
Polling rate:125/250/500/1000Hz
Tracking speed: 100 ips
Number of buttons:6
Programmable buttons:yes
Cable length main cable:1.8m";"21.31";"29307.49";"";"";"MOUSE GAMER TRUST GRAPHIN LIGHTWEIGHT GXT 960";"300";"120";"60";"150";"";"0"
"104903";"9H.N0HBB.A2E";"MOUSES";"MOUSE GAMER ZOWIE GEAR S2 BLACK";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-ZOWIE-GEAR-S2-BLACK_export_0946f3d8a43409d66909283aafe65ed8.jpeg";"10.5%";"10";"12 meses";"U$S";"41.31";"45.65";"1375";"56798.67";"62762.52";"DPI adjustment:400 / 800 / 1600 / 3200
Adjustable USB report rate : 125 / 500 / 1000 Hz
Perfect lift-off distance; Plug and play:No driver needed
sensor :3360 ";"45.65";"62762.52";"";"";"MOUSE GAMER ZOWIE GEAR S2 BLACK";"350";"150";"60";"120";"";"0"
"104937";"23758";"MOUSES";"MOUSE GAMER TRUST GRAPHIN LIGHTWEIGHT GXT 960";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-TRUST-GRAPHIN-LIGHTWEIGHT-GXT-960_export_232307c2bbf2e9dd35932f180b8d7853.jpeg";"10.5%";"10";"12 meses";"U$S";"19.29";"21.31";"1375";"26522.62";"29307.5";"DPI range:200 dpi - 10000 dpi
Sensor technology:optical
Sensor model:PMW3325
Acceleration:20 G
Polling rate:125/250/500/1000Hz
Tracking speed: 100 ips
Number of buttons:6
Programmable buttons:yes
Cable length main cable:1.8m";"21.31";"29307.49";"";"";"MOUSE GAMER TRUST GRAPHIN LIGHTWEIGHT GXT 960";"300";"120";"60";"150";"";"0"
"104902";"9H.N0GBB.A2E";"MOUSES";"MOUSE GAMER ZOWIE GEAR S1 BLACK";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-ZOWIE-GEAR-S1-BLACK_export_72c5eb738d505491ee1c87d2ace508dd.jpeg";"10.5%";"10";"12 meses";"U$S";"41.31";"45.65";"1375";"56798.67";"62762.52";"Longitud del cable::2 m / 6,6 pies
DPI::400/800/1600/3200
Botones:5 botones
Tasa de informe: 125/500/1000 Hz
Talla :mediana
Diseño:Simétrico para diestros
USB:USB 2.0 / 3.0 Plug & Play";"45.65";"62762.52";"";"";"MOUSE GAMER ZOWIE GEAR S1 BLACK";"350";"150";"60";"120";"";"0"
"104659";"9H.N1DGB.A2E";"MOUSES";"BUNGEE MOUSE ZOWIE GEAR CAMADE II BLACK-RED";"https://static.nb.com.ar/i/nb_BUNGEE-MOUSE-ZOWIE-GEAR-CAMADE-II-BLACK-RED_export_e1b0146097b774872049a0664003e564.jpeg";"21.0%";"10";"12 meses";"U$S";"20.57";"24.9";"1375";"28290.05";"34230.96";"Marca:Zowie
Modelo:Camade II 9H.N1DGB.A2E";"24.9";"34230.96";"";"";"BUNGEE MOUSE ZOWIE GEAR CAMADE II BLACK-RED";"750";"200";"150";"160";"";"0"
"104862";"23400";"MOUSES";"MOUSE GAMER TRUST QUDOS RGB GXT900";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-TRUST-QUDOS-RGB-GXT900_export_c8c3958de8e5c47ef8765a17741db6fe.png";"10.5%";"10";"12 meses";"U$S";"27.76";"30.68";"1375";"38170.91";"42178.85";"Marca:Trust
Tipo de mouse:GAMER
Es inalámbrico USB:No
Modelo:Qudos
Cantidad de botones:7
Resolución del sensor:15000 dpi
Tecnología del sensor:OPTICO
Tipo de sensor:Óptico
Embalaje del envío:Caja
Con Bluetooth:No
Con cable:Sí";"30.68";"42178.85";"";"";"MOUSE GAMER TRUST QUDOS RGB GXT900";"300";"120";"60";"150";"";"0"
"104660";"9H.N24BB.A2E";"MOUSES";"MOUSE GAMER ZOWIE EC1 BLACK";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-ZOWIE-EC1-BLACK_export_390223d969e111b0792ce2d4ddd20550.jpeg";"10.5%";"10";"12 meses";"U$S";"41.59";"45.96";"1375";"57187.97";"63192.71";"Ergonomic design:for right-handed users
sensor:3360 
Plug and play:no driver needed
DPI adjustment:400 / 800/ 1600 / 3200
Adjustable USB report rate: 125 / 500 / 1000 Hz
modelo :EC1";"45.96";"63192.7";"";"";"MOUSE GAMER ZOWIE EC1 BLACK";"250";"300";"100";"200";"";"0"
"120493";"RZ01-05230100-R3M1";"MOUSES";"MOUSE GAMER RAZER BASILISK V3 35K";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-RAZER-BASILISK-V3-35K_export_2c374f63951b353511ec48159fc3da3a.jpg";"10.5%";"10";"12 meses";"U$S";"57.97";"64.06";"1375";"79713.56";"88083.49";"Factor de forma:Para diestros
Iluminación RGB:Razer Chroma™ RGB (Iluminación inferior, rueda de desplazamiento y logotipo)
Conectividad:Con cable
Iluminación RGB:Razer Chroma™ RGB (Iluminación inferior, rueda de desplazamiento y logotipo)
Botones programables:11
Ciclo de Vida Del Switch:90 millones de clicks
Sensore:Sensor óptico Focus Pro de 2.ª generación con 35.000 PPP
Tipo de Switch:Switches ópticos para ratón de 3.ª generación
Velocidad Máxima (IPS) :750
Aceleración Máxima (G) 	:70
Memoria integrato 	:5
Sensibilidad Máxima (PPP) :35000";"64.06";"88083.49";"";"";"MOUSE GAMER RAZER BASILISK V3 35K";"110";"45";"350";"45";"";"0"
"120493";"RZ01-05230100-R3M1";"MOUSES";"MOUSE GAMER RAZER BASILISK V3 35K";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-RAZER-BASILISK-V3-35K_export_c83868d8aefec43104453b7158823803.jpg";"10.5%";"10";"12 meses";"U$S";"57.97";"64.06";"1375";"79713.56";"88083.49";"Factor de forma:Para diestros
Iluminación RGB:Razer Chroma™ RGB (Iluminación inferior, rueda de desplazamiento y logotipo)
Conectividad:Con cable
Iluminación RGB:Razer Chroma™ RGB (Iluminación inferior, rueda de desplazamiento y logotipo)
Botones programables:11
Ciclo de Vida Del Switch:90 millones de clicks
Sensore:Sensor óptico Focus Pro de 2.ª generación con 35.000 PPP
Tipo de Switch:Switches ópticos para ratón de 3.ª generación
Velocidad Máxima (IPS) :750
Aceleración Máxima (G) 	:70
Memoria integrato 	:5
Sensibilidad Máxima (PPP) :35000";"64.06";"88083.49";"";"";"MOUSE GAMER RAZER BASILISK V3 35K";"110";"45";"350";"45";"";"0"
"120493";"RZ01-05230100-R3M1";"MOUSES";"MOUSE GAMER RAZER BASILISK V3 35K";"https://static.nb.com.ar/i/nb_MOUSE-GAMER-RAZER-BASILISK-V3-35K_export_d10bab396fedad750cff2c94182e8f8c.jpg";"10.5%";"10";"12 meses";"U$S";"57.97";"64.06";"1375";"79713.56";"88083.49";"Factor de forma:Para diestros
Iluminación RGB:Razer Chroma™ RGB (Iluminación inferior, rueda de desplazamiento y logotipo)
Conectividad:Con cable
Iluminación RGB:Razer Chroma™ RGB (Iluminación inferior, rueda de desplazamiento y logotipo)
Botones programables:11
Ciclo de Vida Del Switch:90 millones de clicks
Sensore:Sensor óptico Focus Pro de 2.ª generación con 35.000 PPP
Tipo de Switch:Switches ópticos para ratón de 3.ª generación
Velocidad Máxima (IPS) :750
Aceleración Máxima (G) 	:70
Memoria integrato 	:5
Sensibilidad Máxima (PPP) :35000";"64.06";"88083.49";"";"";"MOUSE GAMER RAZER BASILISK V3 35K";"110";"45";"350";"45";"";"0"
"104578";"23575";"MOUSES";"MOUSE TRUST JACX GXT930";"https://static.nb.com.ar/i/nb_MOUSE-TRUST-JACX-GXT930_export_28365a8167702e4d182cf5f9f7810248.jpeg";"10.5%";"10";"12 meses";"U$S";"15.81";"17.47";"1375";"21739.22";"24021.84";"Marca:Trust
Tipo de mouse:De juego
Código universal de producto:8713439235753
Interfaces:USB
Es inalámbrico USB:No
Alcance máximo:1.8 m
Modelo:JACX GXT-930
Cantidad de botones:6
Resolución del sensor:6400 dpi
Tipo de sensor:Óptico
Con Bluetooth:No
Con luces:Sí
Con rueda de desplazamiento:Sí
Con cable:Sí";"17.47";"24021.84";"";"";"MOUSE TRUST JACX GXT930";"250";"150";"60";"120";"";"0"
"120100";"31030030401";"MOUSES";"MOUSE GENIUS RS2 NX-7009 BLUE GREY";"https://static.nb.com.ar/i/nb_MOUSE-GENIUS-RS2-NX-7009-BLUE-GREY_export_6954e57ecb662bede2324aeaeb2d3a32.jpg";"10.5%";"10";"12 meses";"U$S";"5.12";"5.66";"1375";"7046.33";"7786.19";"Marca:Genius
Cantidad de botones:3
Color:BLUE
Tipo de mouse:Inalambrico
Línea:GENIUS NX-7009
Velocidad máxima:150 ips
Resolución del sensor:1200 dpi
Tecnología del sensor:BlueEye";"5.66";"7786.19";"";"";"MOUSE GENIUS RS2 NX-7009 BLUE GREY";"110";"45";"350";"45";"";"0"
"104594";"31010125104";"MOUSES";"MOUSE GENIUS MICRO TRAV RETRAC WHITE";"https://static.nb.com.ar/i/nb_MOUSE-GENIUS-MICRO-TRAV-RETRAC-WHITE_export_494571f0c7ceb8ca9a66bb915d496e6d.jpeg";"10.5%";"10";"12 meses";"U$S";"4.48";"4.95";"1375";"6163.08";"6810.2";"Con cable::si
Con rueda de desplazamiento::si
Resolución del sensor: 1000 dpi
Interface:USB
Con cable retráctil::si
Cantidad de botones::3
Tipo de mouse:Mini
Tipo de sensor::Óptico";"4.95";"6810.21";"";"";"MOUSE GENIUS MICRO TRAV RETRAC WHITE";"200";"150";"60";"120";"";"0"
